Quarter,Foreign Series,State & Local Govt Series (SLGS),Savings Bond,Total
2000-03-31,0.348,-2.362,-1.903,-3.917
2000-06-30,-2.55,-3.865,-3.315,-9.73
2000-09-30,-1.037,-1.514,-2.688,-5.239
2000-12-31,-2.3,-7.064,-2.378,-11.742
2001-03-31,1.73,-2.264,-1.66,-2.194
2001-06-30,-2.425,1.861,-2.139,-2.703
2001-09-30,-0.7,0.435,-1.372,-1.637
2001-12-31,-5.767,-6.959,-1.152,-13.878
2002-03-31,-2.857,-0.118,1.947,-1.028
2002-06-30,-0.834,-5.193,-0.427,-6.454
2002-09-30,-1.26,1.692,-1.126,-0.694
2002-12-31,-0.8,1.54,-1.404,-0.664
2003-03-31,-1.312,9.112,-0.237,7.563
2003-06-30,1.0,-4.571,0.133,-3.438
2003-09-30,-0.55,-8.329,0.495,-8.384
2003-12-31,-0.65,7.87,0.581,7.801
2004-03-31,-1.305,0.804,0.548,0.047
2004-06-30,-2.971,6.522,-1.211,2.34
2004-09-30,-0.3,5.763,-1.539,3.924
2004-12-31,-0.55,-3.261,-2.087,-5.898
2005-03-31,0.0,2.47,-1.38,1.09
2005-06-30,0.2,18.32,-1.9,16.62
2005-09-30,-3.1,27.74,-1.71,22.94
2005-12-31,0.1,18.54,-2.3,16.34
2006-03-31,0.7,10.28,-0.23,10.75
2006-06-30,-0.4,-0.72,-1.02,-2.14
2006-09-30,-0.4,7.18,-2.68,4.09
2006-12-31,0.0,-3.19,-3.58,-6.77
2007-03-31,0.0,18.8,-3.1,15.7
2007-06-30,0.5,24.29,-3.83,20.96
2007-09-30,-0.5,19.7,-3.47,15.73
2007-12-31,0.0,-5.11,-3.36,-8.47
2008-03-31,0.0,-3.28,-2.44,-5.71
2008-06-30,1.9,-6.89,-2.84,-7.83
2008-09-30,-1.8,-11.14,-2.2,-15.14
2008-12-31,-0.1,-14.97,-2.56,-17.62
2009-03-31,1.0,-10.92,-1.97,-11.89
2009-06-30,2.0,-9.22,-1.89,-9.12
2009-09-30,0.0,-7.13,-2.14,-9.28
2009-12-31,-1.1,-16.48,-2.71,-20.29
2010-03-31,-0.5,-2.35,-2.32,-5.17
2010-06-30,0.5,-5.64,-2.19,-7.33
2010-09-30,-0.85,-4.49,-2.03,-7.38
2010-12-31,0.15,-10.8,-2.37,-13.02
2011-03-31,-0.2,-0.28,-2.22,-2.7
2011-06-30,-0.2,-11.0,-2.45,-13.7
2011-09-30,-0.1,-15.5,-2.1,-17.7
2011-12-31,-0.7,-14.6,-2.36,-17.6
2012-03-31,0.0,0.23,-1.5,-1.3
2012-06-30,0.6,0.7,-2.1,-0.8
2012-09-30,-0.6,9.2,-2.0,6.6
2012-12-31,0.0,-3.5,-2.34,-5.8
2013-03-31,0.0,4.1,-2.7,1.4
2013-06-30,0.0,-4.8,-2.2,-7.0
2013-09-30,0.0,-2.9,-2.2,-5.2
2013-12-31,0.0,-30.8,-2.3,-33.1
2014-03-31,0.0,-8.6,-2.2,-10.8
2014-06-30,0.0,-7.0,-2.3,-9.2
2014-09-30,0.0,3.32,-2.2,1.2
2014-12-31,0.0,-6.19,-2.45,-8.6
2015-03-31,-2.7,10.8,-2.3,5.8
2015-06-30,0.0,1.44,-2.56,-1.1
2015-09-30,0.0,-18.165,-2.43,-20.595
