Quarter,Bills,2 to Under 5 Years,5-10 Years,Over 10 Years,5 - 10 Years TIPS,Over 10 Years TIPS,Buybacks,Totals
2000-03-31,83.9,-17.63,-26.67,0.0,0.0,7.37,0.0,46.97
2000-06-30,16.22,-19.72,-32.16,11.27,6.32,0.0,-2.0,-20.08
2000-09-30,-123.36,-21.33,-32.18,-4.22,0.0,0.0,-11.0,-192.09
2000-12-31,-13.75,-26.64,-9.84,5.77,5.0,0.0,-8.25,-47.71
2001-03-31,30.68,-30.93,-22.08,0.0,0.0,5.0,-8.75,-26.07
2001-06-30,65.18,-29.25,-25.54,9.39,6.0,0.0,-8.0,17.77
2001-09-30,-91.95,-34.05,-26.44,-1.75,0.0,0.0,-9.25,-163.45
2001-12-31,114.81,-10.32,-31.1,3.79,5.0,0.0,-7.75,74.43
2002-03-31,76.36,65.67,-84.66,-1.75,0.0,5.01,-8.5,52.12
2002-06-30,23.16,26.58,2.71,-5.99,6.0,0.0,0.0,52.46
2002-09-30,-11.94,49.33,-18.25,0.0,0.0,0.0,-4.0,15.14
2002-12-31,45.78,76.9,-29.63,0.0,-8.87,0.0,0.0,84.19
2003-03-31,20.51,68.63,-9.34,-4.25,7.0,0.0,0.0,82.56
2003-06-30,66.28,59.57,-17.52,-3.01,6.0,0.0,0.0,111.33
2003-09-30,-27.26,78.07,12.76,-3.25,0.0,0.0,0.0,60.32
2003-12-31,-9.56,62.69,23.02,-5.6,11.01,0.0,0.0,81.55
2004-03-31,10.57,44.12,62.19,-12.49,9.0,0.0,0.0,113.39
2004-06-30,56.17,30.95,46.74,0.0,12.0,0.0,0.0,145.86
2004-09-30,-38.18,25.79,43.0,-8.36,9.0,0.0,0.0,31.26
2004-12-31,14.69,16.71,40.59,-4.0,10.0,11.0,0.0,88.99
2005-03-31,41.7,20.36,27.2,-12.5,21.0,0.0,0.0,97.76
2005-06-30,55.93,12.54,57.01,-2.32,10.0,11.0,0.0,144.16
2005-09-30,-135.7,17.47,28.92,-7.25,18.0,0.0,0.0,-78.55
2005-12-31,-9.14,7.29,48.43,-9.27,9.0,6.0,0.0,52.32
2006-03-31,49.6,10.1,21.91,-4.08,15.0,0.0,0.0,92.53
2006-06-30,78.18,-5.38,54.33,10.09,9.0,11.76,0.0,157.97
2006-09-30,-125.34,-13.97,31.63,-3.54,19.0,0.0,0.0,-92.23
2006-12-31,-5.18,-14.38,34.15,11.56,10.59,8.24,0.0,44.97
2007-03-31,32.69,-21.47,16.17,-4.05,18.59,0.0,0.0,41.94
2007-06-30,88.87,-30.16,56.79,9.83,-8.81,9.19,0.0,125.71
2007-09-30,-164.04,-33.83,36.32,6.76,16.12,0.0,0.0,-138.67
2007-12-31,89.03,-37.69,24.75,13.85,8.0,7.29,0.0,105.23
2008-03-31,45.8,-9.6,40.05,-2.56,13.16,0.0,0.0,86.84
2008-06-30,154.51,-16.59,42.19,13.29,-11.38,8.97,0.0,191.0
2008-09-30,-97.93,-7.6,36.95,9.23,14.73,0.0,0.0,-44.61
2008-12-31,429.35,8.5,72.81,1.81,8.0,6.66,0.0,527.14
2009-03-31,376.85,79.75,87.69,11.77,13.23,0.0,0.0,569.3
2009-06-30,166.9,135.49,157.19,25.91,-12.17,8.0,0.0,481.33
2009-09-30,-27.1,141.29,191.56,23.11,14.35,0.0,0.0,343.21
2009-12-31,-13.95,156.9,199.13,36.14,8.14,6.15,0.0,392.51
2010-03-31,-199.03,160.53,246.81,38.13,14.03,0.0,0.0,260.47
2010-06-30,50.01,156.53,228.42,44.46,-4.16,8.0,0.0,483.25
2010-09-30,-60.95,132.18,240.14,44.42,-12.21,0.0,0.0,343.58
2010-12-31,5.93,112.46,205.04,43.1,22.11,7.17,0.0,395.82
2011-03-31,-15.92,91.65,224.22,42.73,20.27,0.0,0.0,362.9
2011-06-30,-74.03,80.89,195.24,42.65,10.93,9.49,0.0,265.2
2011-09-30,-167.0,85.02,218.37,42.64,3.49,7.225,0.0,189.74
2011-12-31,-54.0,75.1,186.1,42.5,36.7,0.0,0.0,286.4
2012-03-31,43.0,23.85,168.7,43.7,23.5,7.27,0.0,310.0
2012-06-30,153.93,-24.1,195.6,45.8,20.6,9.1,0.0,400.9
2012-09-30,-78.0,-32.6,219.0,46.3,10.1,7.0,0.0,171.7
2012-12-31,19.6,-33.8,191.2,42.0,12.6,0.0,0.0,232.0
2013-03-31,13.0,-34.5,240.9,42.0,27.0,7.0,0.0,295.4
2013-06-30,162.0,-33.1,141.0,42.0,28.0,9.0,0.0,348.9
2013-09-30,-221.0,-31.2,177.9,42.0,14.6,7.0,0.0,-10.7
2013-12-31,-40.0,-16.7,193.0,42.0,18.7,0.0,0.0,197.0
2014-03-31,62.0,-20.7,144.4,42.0,29.0,7.0,0.0,263.8
2014-06-30,60.0,-18.3,129.5,42.0,1.48,9.03,0.0,264.7
2014-09-30,-264.0,-23.9,120.3,42.0,14.1,7.0,0.0,-63.5
2014-12-31,22.99,-33.97,112.44,42.0,20.07,0.0,0.0,204.5
2015-03-31,47.0,-43.0,104.0,42.0,29.0,7.0,-0.02,227.3
2015-06-30,20.01,-59.39,94.64,31.48,4.43,9.0,0.0,141.2
2015-09-30,-82.90808,-60.44372,101.41497,42.36172,8.11706,6.99999,-0.025,56.57163
