Quarter,12 Months,24 Months,36 Months
2010-03-31,0.35,0.46,0.57
2010-06-30,0.33,0.46,0.56
2010-09-30,0.31,0.44,0.55
2010-12-31,0.3,0.44,0.54
2011-03-31,0.3,0.44,0.54
2011-06-30,0.29,0.43,0.53
2011-09-30,0.28,0.42,0.52
2011-12-31,0.28,0.41,0.51
2012-03-31,0.28,0.41,0.51
2012-06-30,0.28,0.41,0.52
2012-09-30,0.27,0.4,0.51
2012-12-31,0.27,0.4,0.5
2013-03-31,0.266,0.4,0.49
2013-06-30,0.278,0.406,0.5
2013-09-30,0.26,0.392,0.496
2013-12-31,25.36,38.5,49.21
2014-03-31,25.64,38.24,49.61
2014-06-30,26.0,39.0,50.0
2014-09-30,24.0,38.0,49.0
2014-12-31,24.0,38.0,49.0
2015-03-31,24.0,39.0,49.0
2015-06-30,23.78,38.74,49.28
2015-09-30,23.9,38.71,49.09
