Month,Number of Months
2010-01-31,56.0
2010-02-28,57.0
2010-03-31,56.0
2010-04-30,57.0
2010-05-31,57.0
2010-06-30,58.0
2010-07-31,58.0
2010-08-31,58.0
2010-09-30,59.0
2010-10-31,59.0
2010-11-30,59.0
2010-12-31,59.0
2011-01-31,59.0
2011-02-28,60.0
2011-03-31,60.0
2011-04-30,61.0
2011-05-31,61.0
2011-06-30,62.0
2011-07-31,62.0
2011-08-31,62.0
2011-09-30,63.0
2011-10-31,63.0
2011-11-30,63.0
2011-12-31,62.0
2012-01-31,63.0
2012-02-29,63.0
2012-03-31,63.0
2012-04-30,63.0
2012-05-31,64.0
2012-06-30,64.0
2012-07-31,64.0
2012-08-31,64.0
2012-09-30,64.0
2012-10-31,65.0
2012-11-30,65.0
2012-12-31,65.0
2013-01-31,65.0
2013-02-28,65.0
2013-03-31,64.0
2013-04-30,65.0
2013-05-31,66.0
2013-06-30,66.0
2013-07-31,66.0
2013-08-31,66.0
2013-09-30,67.0
2013-10-31,67.0
2013-11-30,66.0
2013-12-31,67.0
2014-01-31,67.0
2014-02-28,67.0
2014-03-31,67.0
2014-04-30,68.0
2014-05-31,68.0
2014-06-30,68.0
2014-07-31,68.0
2014-08-31,68.0
2014-09-30,68.0
2014-10-31,68.0
2014-11-30,68.0
2014-12-31,68.0
2015-01-31,68.0
2015-02-28,69.0
2015-03-31,69.0
2015-04-30,69.0
2015-05-31,69.0
2015-06-30,70.0
2015-07-31,69.0
2015-08-31,70.0
2015-09-30,70.0
2015-10-31,70.0
2015-11-30,69.0
2015-12-31,69.0
2016-01-31,69.0
2016-02-29,69.0
2016-03-31,69.0
2016-04-30,69.0
2016-05-31,70.0
2016-06-30,70.0
2016-07-31,70.0
2016-08-31,70.0
2016-09-30,70.0
2016-10-31,69.0
2016-11-30,69.0
2016-12-31,69.0
2017-01-31,70.0
2017-02-28,70.0
2017-03-31,70.0
2017-04-30,70.0
2017-05-31,71.0
2017-06-30,71.0
2017-07-31,71.0
2017-08-31,71.0
2017-09-30,70.0
2017-10-31,70.0
2017-11-30,70.0
2017-12-31,70.0
2018-01-31,70.0
2018-02-28,70.0
2018-03-31,69.0
2018-04-30,70.0
2018-05-31,70.0
2018-06-30,70.0
2018-07-31,70.0
2018-08-31,69.0
2018-09-30,69.0
2018-10-31,69.0
2018-11-30,69.0
2018-12-31,69.0
2019-01-31,69.0
2019-02-28,70.0
2019-03-31,69.0
2019-04-30,70.0
2019-05-31,70.0
2019-06-30,70.0
2019-07-31,70.0
2019-08-31,70.0
2019-09-30,70.0
2019-10-31,70.0
2019-11-30,69.0
2019-12-31,70.0
2020-01-31,70.0
2020-02-29,70.0
2020-03-31,69.0
2020-04-30,65.0
2020-05-31,63.0
2020-06-30,62.0
