Quarter,Bills,2-3 Years,4-9 Years,10-15 Years,Bonds,TIPS
2010-03-31,70.3,12.6,11.0,3.4,2.1,0.7
2010-06-30,65.1,14.7,12.8,4.0,2.5,1.0
2010-09-30,72.4,11.5,10.0,3.2,2.0,0.9
2010-12-31,76.6,9.2,8.4,2.8,1.8,1.2
2011-03-31,74.1,9.967,9.6,3.24,2.1,0.978
2011-06-30,73.3,10.0,9.7,3.25,2.07,1.66
2011-09-30,69.75,11.4,11.1,3.65,2.3,1.8
2011-12-31,70.49,11.0,10.6,3.6,2.3,2.0
2012-03-31,74.3,9.9,7.6,3.9,2.5,1.8
2012-06-30,71.8,10.6,9.84,3.6,2.3,1.88
2012-09-30,69.8,11.4,10.45,3.9,2.48,1.95
2012-12-31,72.3,10.2,9.8,3.4,2.1,2.1
2013-03-31,69.8,11.2,12.2,3.1,2.0,1.6
2013-06-30,77.7,8.4,6.5,3.4,2.1,1.9
2013-09-30,71.2,10.7,10.3,3.5,2.2,2.0
2013-12-31,69.11,11.2,12.36,3.19,2.03,2.12
2014-03-31,73.15,9.57,9.88,3.39,2.16,1.85
2014-06-30,67.6,10.7,11.1,3.8,2.4,2.1
2014-09-30,67.5,10.5,11.2,3.8,2.4,2.2
2014-12-31,69.4,9.3,10.63,3.65,2.32,2.44
2015-03-31,69.5,9.2,10.9,3.7,2.4,2.0
2015-06-30,69.21,8.75,11.2,3.85,2.45,2.16
2015-09-30,69.47,9.17,10.87,3.74,2.38,2.04
